"Subject","Language","Type","Item","Trial","Score","RT"
2,"L2","kontroll","audio/r14.wav",21,1,0.571641178
2,"L2","visuell","audio/r7.wav",22,1,1.105583846
2,"L2","visuospatial","audio/r17.wav",23,1,3.394900689
2,"L2","visuell","audio/r1.wav",24,1,1.305958364
3,"L1","kontroll","audio/n17.wav",1,1,1.756582207
3,"L1","visuell","audio/n12.wav",2,0,8.40402707
3,"L1","visuospatial","audio/n2.wav",3,1,0.889699875
3,"L1","kontroll","audio/n7.wav",4,1,1.707078503
3,"L1","visuospatial","audio/n21.wav",5,1,2.873575073
3,"L1","visuospatial","audio/n23.wav",6,1,2.859901255
3,"L1","kontroll","audio/n20.wav",7,0,2.322993247
3,"L1","kontroll","audio/n8.wav",8,1,1.873524935
3,"L1","kontroll","audio/n19.wav",9,1,2.659231319
3,"L1","visuell","audio/n15.wav",10,1,2.409242137
3,"L1","visuell","audio/n9.wav",11,1,5.278312049
3,"L1","visuospatial","audio/n24.wav",12,1,2.223823995
3,"L1","visuell","audio/n10.wav",13,1,2.073832687
3,"L1","visuospatial","audio/n22.wav",14,1,2.021917281
3,"L1","visuospatial","audio/n4.wav",15,1,2.14224741
3,"L1","visuell","audio/n11.wav",16,1,2.525305262
3,"L1","visuospatial","audio/n3.wav",17,1,2.659495986
3,"L1","visuospatial","audio/n1.wav",18,1,3.37671081
3,"L1","visuell","audio/n13.wav",19,1,7.067595249
3,"L1","visuell","audio/n16.wav",20,1,2.659221584
3,"L1","kontroll","audio/n18.wav",21,1,2.90896094
3,"L1","visuell","audio/n14.wav",22,1,2.125198805
3,"L1","kontroll","audio/n5.wav",23,1,1.841361782
3,"L1","kontroll","audio/n6.wav",24,1,1.221969622
3,"L2","visuell","audio/r1.wav",1,1,0.770765937
3,"L2","kontroll","audio/r16.wav",2,1,2.32998259
3,"L2","visuospatial","audio/r23.wav",3,1,2.375582161
3,"L2","kontroll","audio/r12.wav",4,1,10.05817301
3,"L2","kontroll","audio/r10.wav",5,1,1.554047002
3,"L2","kontroll","audio/r11.wav",6,1,2.29111576
3,"L2","visuell","audio/r2.wav",7,1,2.626576511
3,"L2","visuospatial","audio/r19.wav",8,1,1.974046323
3,"L2","kontroll","audio/r15.wav",9,1,1.524349127
3,"L2","visuospatial","audio/r21.wav",10,1,1.957993893
3,"L2","visuell","audio/r4.wav",11,1,6.935529827
3,"L2","visuell","audio/r8.wav",12,1,21.68345711
3,"L2","kontroll","audio/r9.wav",13,0,19.82944413
3,"L2","visuell","audio/r3.wav",14,1,1.505284231
3,"L2","kontroll","audio/r13.wav",15,1,1.390033794
3,"L2","visuell","audio/r5.wav",16,1,1.924170182
3,"L2","visuospatial","audio/r18.wav",17,1,1.589837868
3,"L2","visuospatial","audio/r20.wav",18,1,1.372382338
3,"L2","kontroll","audio/r14.wav",19,1,1.155165136
3,"L2","visuell","audio/r7.wav",20,1,1.404200284
3,"L2","visuell","audio/r6.wav",21,0,7.06807823
3,"L2","visuospatial","audio/r24.wav",22,1,2.342316461
3,"L2","visuospatial","audio/r17.wav",23,1,1.039196419
3,"L2","visuospatial","audio/r22.wav",24,1,1.705556263
4,"L1","visuospatial","audio/n2.wav",1,1,3.343021783
4,"L1","kontroll","audio/n19.wav",2,1,1.908765096
4,"L1","kontroll","audio/n5.wav",3,1,1.656860145
4,"L1","visuell","audio/n13.wav",4,1,2.574782636
